                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50549,                0.35809,                0.95169,                0.97943,                0.97222,                0.98598,                0.84807,                 0.6171,                0.34052,                 1.0034,               0.000614,               0.000614,               0.000614
                     37,                0.50096,                0.36329,                0.94307,                0.96396,                0.99067,                 0.9843,                0.86881,                 0.5739,                 0.3114,                 0.9672,              0.0005744,              0.0005744,              0.0005744
                     38,                  0.496,                0.44101,                0.93058,                0.97236,                0.97738,                0.97789,                 0.8581,                0.58223,                0.34422,                0.97007,              0.0005348,              0.0005348,              0.0005348
                     39,                0.50575,                0.34477,                0.94334,                0.96383,                0.98699,                0.98618,                0.86759,                0.60654,                 0.3572,                0.98422,              0.0004952,              0.0004952,              0.0004952
                     40,                0.49055,                0.35866,                0.94861,                 0.9716,                0.99074,                0.98398,                0.86802,                0.56069,                0.30885,                0.92377,              0.0004556,              0.0004556,              0.0004556
                     41,                0.42959,                0.26011,                 0.9247,                  0.972,                0.99074,                0.98758,                0.86607,                0.58845,                0.30897,                0.94448,               0.000416,               0.000416,               0.000416
                     42,                0.41786,                0.26131,                0.91171,                0.97271,                0.99005,                0.98532,                0.86502,                0.57572,                0.28844,                0.93648,              0.0003764,              0.0003764,              0.0003764
                     43,                0.40961,                0.24983,                0.89798,                0.98164,                0.99034,                0.98645,                0.86192,                0.57653,                0.29102,                0.92854,              0.0003368,              0.0003368,              0.0003368
                     44,                0.39847,                0.25036,                0.89629,                 0.9727,                0.98961,                0.98644,                0.87417,                 0.5528,                0.28746,                0.93084,              0.0002972,              0.0002972,              0.0002972
                     45,                0.38974,                0.23844,                0.89963,                0.97329,                0.98148,                0.98472,                0.87328,                0.56679,                0.28944,                0.93193,              0.0002576,              0.0002576,              0.0002576
                     46,                0.38309,                0.25023,                0.89117,                0.98078,                0.98148,                0.98577,                0.86633,                0.56958,                0.28377,                0.94331,               0.000218,               0.000218,               0.000218
                     47,                 0.3758,                0.22594,                0.88098,                0.98082,                0.98148,                0.98695,                0.87574,                 0.5727,                0.29174,                0.96213,              0.0001784,              0.0001784,              0.0001784
                     48,                0.36457,                0.22279,                0.87382,                0.98066,                0.98148,                0.98534,                0.87594,                0.57346,                 0.2728,                0.95805,              0.0001388,              0.0001388,              0.0001388
                     49,                0.35288,                0.21607,                0.88026,                0.98148,                0.98116,                0.98671,                0.87777,                0.57073,                0.27164,                  0.955,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  0.346,                0.21915,                0.87723,                0.98116,                0.98148,                0.98752,                0.87703,                0.56788,                0.27386,                0.95457,               5.96e-05,               5.96e-05,               5.96e-05
